nombre,poblacion,superficie,continente
costa de marfil,27053629,322463,africa
paraguay,7132538,406752,america
guyana,786552,214969,america
republica del congo,5518087,342000,africa
marruecos,36910560,446550,africa
san cristobal y nieves,53199,261,america
bangladesh,169356251,147570,asia
belice,397628,22966,america
barbados,281200,430,america
armenia,2971966,29743,asia
honduras,9904607,112492,america
malta,514564,316,europa
gabon,2225734,267668,africa
francia,67391582,551695,europa
san vicente y las granadinas,110940,389,america
cabo verde,561901,4033,africa
republica dominicana,10847910,48671,america
ghana,31072940,238533,africa
mali,22395489,1240192,africa
georgia,3989167,69700,europa
serbia,6804596,77474,europa
panama,4351267,75417,america
moldavia,2617820,33846,europa
laos,7275560,236800,asia
gambia,2416668,11295,africa
mauritania,4649658,1030700,africa
brasil,213993437,8515767,america
seychelles,98347,455,africa
esuatini,1160164,17364,africa
republica centroafricana,4829767,622984,africa
mauricio,1271768,2040,africa
sudan del sur,11193725,619745,africa
benin,12451040,112622,africa
jamaica,2961167,10991,america
tailandia,69799978,513120,asia
antigua y barbuda,93219,443,america
santa lucia,183627,616,america
republica checa,10708981,78866,europa
sudan,43849260,1861484,africa
irak,40222493,438317,asia
malaui,19129952,118484,africa
somalia,15893222,637657,africa
chad,16818391,1284000,africa
papua nueva guinea,8947024,462840,oceania
corea del norte,25971909,120538,asia
uganda,45741007,241550,africa
libano,6825445,10452,asia
eslovaquia,5459642,49035,europa
guinea ecuatorial,1402985,28051,africa
nicaragua,6624554,130373,america
butan,771608,38394,asia
tanzania,59734218,945087,africa
eslovenia,2107180,20273,europa
egipto,102334404,1002450,africa
sri lanka,21919000,65610,asia
chipre,1207359,9251,europa
camboya,16718965,181035,asia
santo tome y principe,219159,964,africa
azerbaiyan,10139177,86600,asia
congo,5797805,342000,africa
suecia,10099265,450295,europa
yibuti,988000,23200,africa
uzbekistan,34915100,447400,asia
kuwait,4270563,17818,asia
bulgaria,6520314,110879,europa
namibia,2540905,824292,africa
islandia,341243,103000,europa
kirguistan,6524195,199951,asia
alemania,83149300,357022,europa
croacia,3899000,56594,europa
letonia,1886198,64589,europa
kazajistan,18776707,2724900,asia
nigeria,206139589,923768,africa
chile,19116201,756102,america
tuvalu,11792,26,oceania
bosnia y herzegovina,3280819,51197,europa
uruguay,3473730,176215,america
micronesia,115023,702,oceania
niger,24206644,1267000,africa
austria,9027999,83871,europa
monaco,39242,2,europa
san marino,33931,61,europa
arabia saudita,35013414,2149690,asia
burkina faso,21510181,274200,africa
liechtenstein,38128,160,europa
angola,34795287,1246700,africa
camerun,26545863,475442,africa
nauru,10824,21,oceania
polonia,37950802,312696,europa
mozambique,31255435,801590,africa
peru,32971854,1285216,america
australia,25921000,7692024,oceania
filipinas,109581078,300000,asia
kiribati,119449,811,oceania
portugal,10305564,92212,europa
afganistan,40754388,652230,asia
tayikistan,9537645,143100,asia
republica macedonica del norte,2083374,25713,europa
granada,112519,344,america
vietnam,97338579,331212,asia
fiyi,896445,18274,oceania
costa rica,5153957,51100,america
mongolia,3278290,1564116,asia
burundi,11890784,27834,africa
comoras,888451,1862,africa
tonga,100651,747,oceania
rusia,145934462,17098242,europa
brunei,459500,5765,asia
botsuana,2630296,581730,africa
republica democratica del congo,89561403,2344858,africa
reino unido,67886011,243610,europa
indonesia,273523615,1904569,asia
malasia,32365999,329847,asia
hungria,9660351,93028,europa
irlanda,4994724,70273,europa
colombia,51265844,1141748,america
nepal,29136808,147181,asia
islas marshall,41569,181,oceania
haiti,11402528,27750,america
venezuela,28435943,912050,america
ciria,17500658,185180,asia
cuba,11317505,109884,america
kenia,53771296,580367,africa
ruanda,12952218,26338,africa
turquia,84339067,783562,asia
etiopia,117876227,1104300,africa
guinea,13132795,245857,africa
canada,38008005,9984670,america
corea del sur,51744876,100210,asia
paises bajos,17441139,41543,europa
andorra,77543,468,europa
lituania,2722289,65300,europa
emiratos arabes unidos,9890402,83600,asia
pakistan,220892340,881913,asia
timor oriental,1318445,14874,asia
tunez,11818619,163610,africa
zambia,18383955,752618,africa
dominica,71808,751,america
india,1380004385,3287263,asia
catar,2930524,11586,asia
argelia,44616624,2381741,africa
maldivas,540544,298,asia
japon,125800000,377975,asia
iran,83992949,1648195,asia
surinam,586632,163820,america
togo,8278724,56785,africa
italia,60461826,301340,europa
argentina,45376763,2780400,america
bahamas,393244,13943,america
estonia,1326590,45228,europa
sudafrica,59308690,1219090,africa
oman,4520471,309500,asia
belgica,11590000,30528,europa
guatemala,17109746,108889,america
suiza,8654622,41285,europa
palaos,18094,459,oceania
singapur,5850342,728,asia
trinidad y tobago,1399488,5130,america
finlandia,5530719,338145,europa
eritrea,3546421,117600,africa
madagascar,27691018,587041,africa
ecuador,17797737,283561,america
yemen,29825964,527968,asia
estados unidos,331002651,9833517,america
dinamarca,5873381,43094,europa
israel,9216900,20770,asia
bolivia,11513100,1098581,america
espana,47351567,505990,europa
sierra leona,7976983,71740,africa
vanuatu,307145,12189,oceania
noruega,5421241,323802,europa
china,1412600000,9596960,asia
senegal,16743927,196722,africa
ucrania,43733762,603550,europa
albania,2842321,28748,europa
el salvador,6486205,21041,america
rumania,19237691,238397,europa
nueva zelanda,5002100,270467,oceania
samoa,198414,2842,oceania
libia,6871292,1759540,africa
lesoto,2142249,30355,africa
mexico,128932753,1964375,america
islas salomon,686884,28896,oceania
guinea-bisau,1968001,36125,africa
montenegro,622137,13812,europa
zimbabue,14862924,390757,africa
bielorrusia,9442862,207600,europa
grecia,10718565,131957,europa
luxemburgo,632275,2586,europa
barein,1701575,765,asia
jordania,10203134,89342,asia
turkmenistan,6031187,488100,asia
liberia,5057681,111369,africa
